searge,name,side,desc
func_70000_a,fillSnooper,2
func_70007_b,resetLog,2
func_70008_c,getLogContents,2
func_70012_b,setLocationAndAngles,2
func_70013_c,getBrightness,2
func_70015_d,setFire,2
func_70016_h,setVelocity,2
func_70018_K,markVelocityChanged,2
func_70020_e,read,2
func_70022_Q,getEntityString,2
func_70024_g,addVelocity,2
func_70026_G,isWet,2
func_70027_ad,isBurning,2
func_70028_i,isEntityEqual,2
func_70029_a,setWorld,2
func_70030_z,baseTick,2
func_70031_b,setSprinting,2
func_70032_d,getDistance,2
func_70033_W,getYOffset,2
func_70034_d,setRotationYawHead,2
func_70037_a,readAdditional,2
func_70038_c,isOffsetPositionInLiquid,2
func_70039_c,writeUnlessPassenger,2
func_70040_Z,getLookVec,2
func_70042_X,getMountedYOffset,2
func_70044_A,setOnFireFromLava,2
func_70045_F,isImmuneToFire,2
func_70046_E,getCollisionBoundingBox,2
func_70047_e,getEyeHeight,2
func_70049_a,newFloatNBTList,2
func_70050_g,setAir,2
func_70051_ag,isSprinting,2
func_70052_a,setFlag,2
func_70057_ab,performHurtAnimation,2
func_70065_x,preparePlayerToSpawn,2
func_70066_B,extinguish,2
func_70067_L,canBeCollidedWith,2
func_70068_e,getDistanceSq,2
func_70071_h_,tick,2
func_70072_I,handleWaterMovement,2
func_70074_a,onKillEntity,2
func_70075_an,canBeAttackedWithItem,2
func_70076_C,outOfWorld,2
func_70077_a,onStruckByLightning,2
func_70079_am,getRotationYawHead,2
func_70080_a,setPositionAndRotation,2
func_70081_e,dealFireDamage,2
func_70083_f,getFlag,2
func_70086_ai,getAir,2
func_70087_a,newDoubleNBTList,2
func_70088_a,registerData,2
func_70089_S,isAlive,2
func_70090_H,isInWater,2
func_70092_e,getDistanceSq,2
func_70094_T,isEntityInsideOpaqueBlock,2
func_70097_a,attackEntityFrom,2
func_70098_U,updateRidden,2
func_70099_a,entityDropItem,2
func_70100_b_,onCollideWithPlayer,2
func_70101_b,setRotation,2
func_70103_a,handleStatusUpdate,2
func_70104_M,canBePushed,2
func_70106_y,remove,2
func_70107_b,setPosition,2
func_70108_f,applyEntityCollision,2
func_70111_Y,getCollisionBorderSize,2
func_70112_a,isInRangeToRenderDist,2
func_70114_g,getCollisionBox,2
func_70184_a,onImpact,2
func_70185_h,getGravityVelocity,2
func_70186_c,shoot,2
func_70227_a,onImpact,2
func_70239_b,setDamage,2
func_70240_a,setKnockbackStrength,2
func_70241_g,getIsCritical,2
func_70242_d,getDamage,2
func_70243_d,setIsCritical,2
func_70265_b,setTimeSinceHit,2
func_70266_a,setDamageTaken,2
func_70267_i,getForwardDirection,2
func_70268_h,getTimeSinceHit,2
func_70269_c,setForwardDirection,2
func_70271_g,getDamageTaken,2
func_70296_d,markDirty,2
func_70297_j_,getInventoryStackLimit,2
func_70298_a,decrStackSize,2
func_70299_a,setInventorySlotContents,2
func_70300_a,isUsableByPlayer,2
func_70301_a,getStackInSlot,2
func_70302_i_,getSizeInventory,2
func_70304_b,removeStackFromSlot,2
func_70429_k,tick,2
func_70431_c,hasItemStack,2
func_70432_d,storeItemStack,2
func_70436_m,dropAllItems,2
func_70437_b,setItemStack,2
func_70440_f,armorItemInSlot,2
func_70441_a,addItemStackToInventory,2
func_70442_a,write,2
func_70443_b,read,2
func_70445_o,getItemStack,2
func_70447_i,getFirstEmptyStack,2
func_70448_g,getCurrentItem,2
func_70449_g,damageArmor,2
func_70451_h,getHotbarSize,2
func_70452_e,storePartialItemStack,2
func_70455_b,copyInventory,2
func_70469_d,inventoryResetNeededOnSlotChange,2
func_70470_g,resetRecipeAndSlots,2
